loc_id,loc_label,id,wikidata_id,worldcat_id,viaf_id
http://id.loc.gov/authorities/names/no2010099620,Rockford,NCG12968,,http://id.worldcat.org/fast/1882396,http://viaf.org/viaf/sourceID/LC%7Cno2010099620#skos:Concept
http://id.loc.gov/authorities/names/n84055387,Oriental,NCG11269,http://www.wikidata.org/entity/Q2025148,http://id.worldcat.org/fast/1229620,http://viaf.org/viaf/sourceID/LC%7Cn++84055387#skos:Concept
http://id.loc.gov/authorities/names/n84055363,Beulaville,NCG01164,http://www.wikidata.org/entity/Q2027726,http://id.worldcat.org/fast/1229609,http://viaf.org/viaf/sourceID/LC%7Cn++84055363#skos:Concept
http://id.loc.gov/authorities/names/n87936759,Gaston County,NCG05734,http://www.wikidata.org/entity/Q511849,http://id.worldcat.org/fast/1247195,http://viaf.org/viaf/sourceID/LC%7Cn++87936759#skos:Concept
http://id.loc.gov/authorities/names/n81018454,Alleghany County,NCG00147,http://www.wikidata.org/entity/Q497899,http://id.worldcat.org/fast/1211870,http://viaf.org/viaf/sourceID/LC%7Cn++81018454#skos:Concept
http://id.loc.gov/authorities/names/n81098935,Pinetops,NCG11859,http://www.wikidata.org/entity/Q2025745,http://id.worldcat.org/fast/1215117,http://viaf.org/viaf/sourceID/LC%7Cn++81098935#skos:Concept
http://id.loc.gov/authorities/names/n82076119,Waxhaw,NCG15984,http://www.wikidata.org/entity/Q2022331,http://id.worldcat.org/fast/1220234,http://viaf.org/viaf/sourceID/LC%7Cn++82076119#skos:Concept
http://id.loc.gov/authorities/names/n84136621,Vass,NCG15697,http://www.wikidata.org/entity/Q2022416,http://id.worldcat.org/fast/1229939,http://viaf.org/viaf/sourceID/LC%7Cn++84136621#skos:Concept
http://id.loc.gov/authorities/names/no2014017669,Vandemere,NCG15686,,,http://viaf.org/viaf/sourceID/LC%7Cno2014017669#skos:Concept
http://id.loc.gov/authorities/names/n83226482,Kenly,NCG08155,http://www.wikidata.org/entity/Q1410372,http://id.worldcat.org/fast/1226900,http://viaf.org/viaf/sourceID/LC%7Cn++83226482#skos:Concept
http://id.loc.gov/authorities/names/n84136669,Hayesville,NCG06767,http://www.wikidata.org/entity/Q302144,http://id.worldcat.org/fast/1229785,http://viaf.org/viaf/sourceID/LC%7Cn++84136669#skos:Concept
http://id.loc.gov/authorities/names/n81118740,Boone,NCG01651,http://www.wikidata.org/entity/Q893055,http://id.worldcat.org/fast/1348227|http://id.worldcat.org/fast/1215881,http://viaf.org/viaf/sourceID/LC%7Cn++81118740#skos:Concept
http://id.loc.gov/authorities/names/n83027684,Radio Island,NCG12405,http://www.wikidata.org/entity/Q49673882,http://id.worldcat.org/fast/1224179,http://viaf.org/viaf/sourceID/LC%7Cn++83027684#skos:Concept
http://id.loc.gov/authorities/names/n79151522,Goldsboro,NCG05968,http://www.wikidata.org/entity/Q367400,http://id.worldcat.org/fast/1348248|http://id.worldcat.org/fast/1207262,http://viaf.org/viaf/sourceID/LC%7Cn++79151522#skos:Concept
http://id.loc.gov/authorities/names/n84055362,Battleboro,NCG00737,http://www.wikidata.org/entity/Q26300877,http://id.worldcat.org/fast/1229487,http://viaf.org/viaf/sourceID/LC%7Cn++84055362#skos:Concept
http://id.loc.gov/authorities/names/n89146351,Enochville,NCG04961,http://www.wikidata.org/entity/Q2026748,http://id.worldcat.org/fast/1257965,http://viaf.org/viaf/sourceID/LC%7Cn++89146351#skos:Concept
http://id.loc.gov/authorities/names/n82037098,Jacksonville,NCG07756,http://www.wikidata.org/entity/Q986369,http://id.worldcat.org/fast/1348262|http://id.worldcat.org/fast/1218872,http://viaf.org/viaf/sourceID/LC%7Cn++82037098#skos:Concept
http://id.loc.gov/authorities/names/n82076118,Pinehurst,NCG11852,,http://id.worldcat.org/fast/1220233,http://viaf.org/viaf/sourceID/LC%7Cn++82076118#skos:Concept
http://id.loc.gov/authorities/names/n94034214,Stanfield,NCG14511,http://www.wikidata.org/entity/Q623030,http://id.worldcat.org/fast/1268706,http://viaf.org/viaf/sourceID/LC%7Cn++94034214#skos:Concept
http://id.loc.gov/authorities/names/n82079182,Ahoskie,NCG00082,http://www.wikidata.org/entity/Q370172,http://id.worldcat.org/fast/1220363,http://viaf.org/viaf/sourceID/LC%7Cn++82079182#skos:Concept
http://id.loc.gov/authorities/names/n83158604,Warrenton,NCG15892,http://www.wikidata.org/entity/Q1885980,http://id.worldcat.org/fast/1225743,http://viaf.org/viaf/sourceID/LC%7Cn++83158604#skos:Concept
